uuid,fund_uuid,campaign_uuid,user_id,fund_id,challenge_id,title,user_name,ideascale_link,ideascale_user,ideascale_id,amount_requested,amount_received,project_status,funding_status,yes_votes_count,no_votes_count,abstain_votes_count,unique_wallets,problem,solution,currency_symbol,currency,alignment_score,feasibility_score,auditability_score,tags,slug,chain_proposal_id
ff54bc51-7c0c-49be-a6a0-1772ae477d40,0dbcc13d-294f-4a0d-b3cf-ed6997babf48,8e9a49d4-6f4e-4234-bdb4-33a504a9271a,,,,"Educating Crypto's Next Generation


",,,,,42065,,unfunded,over_budget,86399916,16981997,,,Educating children about cryptocurrencies an securing their future against endless fiat currencies inflation.,Entertain kids with games that show the benefits of blockchain while providing incentive in the form of real-use tokens to gamers.,,USD,,,,,educating-crypto-s-next-generation,
fcb01b65-b813-4756-a48f-3731297b606c,0dbcc13d-294f-4a0d-b3cf-ed6997babf48,dde9ff33-0bdf-461d-838a-86a7218bd115,,,,Metadata oracle endpoint in Yoroi,,,,,1200,,unfunded,over_budget,90852658,6169322,,,Yoroi backend doesn't have the capability for fetching metadata from oracle endpoints.,We want to implement a new Yoroi backend endpoint that will provide the metadata oracles datapoints.,,USD,,,,,metadata-oracle-endpoint-in-yoroi,
f6a274f0-048b-4057-9f59-db0f1af94d07,0dbcc13d-294f-4a0d-b3cf-ed6997babf48,8e9a49d4-6f4e-4234-bdb4-33a504a9271a,,,,"Tournaments for Tennis Players


",,,,,50000,,unfunded,not_approved,27858980,47654252,,,Non-professional tennis players want to compete too. There are centralized ledgers/leagues. But we depend on 3rd party to organize/govern.,"Create distributed ledger allowing players self-organize matches, keep scoreboards/ratings, and set own rules.",,USD,,,,,tournaments-for-tennis-players,
f4f1ae61-c820-45ba-b766-aa750bb2aac2,0dbcc13d-294f-4a0d-b3cf-ed6997babf48,dde9ff33-0bdf-461d-838a-86a7218bd115,,,,Free-Commerce: sell online with ADA,,,,,35000,,unfunded,over_budget,87251518,25591027,,,Enabling stores to sell goods and services for ADA requires intermediaries who have control over your money and charge fees and commissions.,"To build opensource, intermediary & commission-free payment integrations with ADA & native tokens which flows directly from buyer to seller.",,USD,,,,,free-commerce-sell-online-with-ada,
f4940de5-f59a-48fb-a7a2-bdd8114fbaba,0dbcc13d-294f-4a0d-b3cf-ed6997babf48,dde9ff33-0bdf-461d-838a-86a7218bd115,,,,Cardano Dapps Listing Website,,,,,9500,,unfunded,over_budget,36009607,12479748,,,"As DApps are released on the Cardano network, it will become harder to keep track of projects being released.","We want to develop an application where we can list & give DApp creators a platform to promote dapps, much like Product Hunt, but for Dapps.",,USD,,,,,cardano-dapps-listing-website,
f3d5458f-13fc-4921-a734-5deb95f35558,0dbcc13d-294f-4a0d-b3cf-ed6997babf48,dde9ff33-0bdf-461d-838a-86a7218bd115,,,,DARP: Cardano's Address Name Servce,,,,,57500,,unfunded,not_approved,28846799,29374337,,,"Complex addresses (e.g. cryptocurrency, network, physical) are difficult to share and remember, which adds risk to their use.",The Decentralised Address Resolution Protocol (DARP) uses easy to remember address names to help mitigate risks & improve user experience.,,USD,,,,,darp-cardano-s-address-name-servce,
f3276cf5-78f3-4566-b3af-4c12c4dbd5ad,0dbcc13d-294f-4a0d-b3cf-ed6997babf48,dde9ff33-0bdf-461d-838a-86a7218bd115,,,,Educational materials about Cardano,,,,,15000,,unfunded,over_budget,122000000,19248762,,,"As Cardano ecosystem grows, there is a constant need for educational materials in different languages.",Everstake is ready to create many educational materials about Cardano and distribute them among our customer base,,USD,,,,,educational-materials-about-cardano,
f27daef0-6fa6-43e5-a18f-fa6b16e2ca92,0dbcc13d-294f-4a0d-b3cf-ed6997babf48,dde9ff33-0bdf-461d-838a-86a7218bd115,,,,Localize Yoroi for Czech market,,,,,2300,,unfunded,over_budget,75781975,19458826,,,Yoroi is missing Czech localization making it difficult to use on the local market.,Provide Yoroi with a localized Czech interface. This needs to be up to date with each new Yoroi update and coordinated with translators.,,USD,,,,,localize-yoroi-for-czech-market,
f1cf90a6-5e07-48f7-bb8f-7dcccaf16e4a,0dbcc13d-294f-4a0d-b3cf-ed6997babf48,8e9a49d4-6f4e-4234-bdb4-33a504a9271a,,,,"BC Wildfire Identification


",,,,,50000,,unfunded,not_approved,18409295,44298465,,,"There are many ways that wildfires start, faster identification and acknowledgement can greatly reduce their impact.",Utilization of a distributed app to enable incentivised crowdsourcing would greatly reduce the loss of both property and environments.,,USD,,,,,bc-wildfire-identification,
f0acdb79-5ebe-4f25-bd74-570a6923b6ae,0dbcc13d-294f-4a0d-b3cf-ed6997babf48,dde9ff33-0bdf-461d-838a-86a7218bd115,,,,Write Dapps as continuous workflows,agocorona,,,,7000,7000,complete,funded,138000000,12149271,,,"DApp developpers maintainers and verifiers face the ""endpoint hell"" in Web, in chain and in out-chain code",Express the entire program flow within a Haskell monad which set HTTP endpoints for microservices and uses Plutus endpoints,,USD,,,,,write-dapps-as-continuous-workflows,
